timestamp,dissolved_oxygen,pH,salinity,ammonium,chlorophyll
2025-06-02 09:10:04,7.58,6.68,0.24,0.093,3.59
2025-06-02 09:10:11,7.31,7.8,0.21,0.061,4.85
2025-06-02 09:10:18,6.81,7.42,0.21,0.076,4.67
2025-06-02 09:10:25,6.87,6.92,0.41,0.083,9.97
2025-06-02 09:10:32,7.28,7.06,0.23,0.094,13.19
2025-06-02 09:10:40,7.54,7.06,0.5,0.07,1.05
2025-06-02 09:10:47,7.83,7.77,0.23,0.019,10.2
2025-06-02 09:10:54,6.42,6.89,0.34,0.022,10.42
2025-06-02 09:11:01,6.54,7.64,0.4,0.097,8.19
2025-06-02 09:11:08,8.49,7.59,0.21,0.036,8.55
2025-06-02 09:11:15,6.22,6.79,0.46,0.091,12.42
2025-06-02 09:11:22,8.97,7.5,0.5,0.092,11.08
2025-06-02 09:11:29,6.37,7.18,0.2,0.029,14.53
2025-06-02 09:11:36,6.29,6.84,0.13,0.088,14.42
2025-06-02 09:11:43,8.22,7.35,0.19,0.023,7.89
2025-06-02 09:11:50,8.55,7.78,0.16,0.062,8.4
2025-06-02 09:11:57,6.56,7.27,0.15,0.021,12.32
2025-06-02 09:12:04,6.41,6.75,0.43,0.062,2.85
2025-06-02 09:12:11,8.82,6.88,0.14,0.024,12.25
2025-06-02 09:12:18,8.88,6.65,0.16,0.093,9.23
2025-06-02 09:12:25,6.69,6.87,0.48,0.068,9.77
2025-06-02 09:12:32,7.47,7.66,0.22,0.097,8.69
2025-06-02 09:12:39,7.24,7.74,0.4,0.088,3.2
2025-06-02 09:12:46,7.17,7.29,0.32,0.092,10.07
2025-06-02 09:12:53,7.46,6.51,0.24,0.057,10.24
2025-06-02 09:13:00,6.68,6.85,0.11,0.053,7.9
2025-06-02 09:13:07,8.22,7.97,0.2,0.037,5.43
2025-06-02 09:13:15,8.1,6.8,0.49,0.037,7.89
2025-06-02 09:13:22,7.73,6.72,0.39,0.046,12.16
2025-06-02 09:13:29,6.09,7.9,0.25,0.094,7.92
2025-06-02 09:13:36,6.23,7.93,0.16,0.063,14.93
2025-06-02 09:13:43,7.2,7.14,0.46,0.032,9.3
2025-06-02 09:13:50,8.32,7.95,0.38,0.081,11.71
2025-06-02 09:13:57,6.82,6.7,0.2,0.074,12.99
2025-06-02 09:14:04,8.78,7.03,0.15,0.054,2.25
2025-06-02 09:14:11,7.64,7.05,0.14,0.013,7.24
2025-06-02 09:14:18,6.02,7.87,0.2,0.061,5.64
2025-06-02 09:14:25,8.1,7.58,0.26,0.1,1.44
2025-06-02 09:14:32,8.41,7.6,0.2,0.016,11.09
2025-06-02 09:14:39,6.41,7.31,0.32,0.064,3.09
2025-06-02 09:14:46,7.25,7.6,0.17,0.022,2.67
2025-06-02 09:14:53,6.49,7.47,0.32,0.081,11.34
2025-06-02 09:15:00,7.29,6.69,0.25,0.069,5.41
2025-06-02 09:15:07,6.36,6.94,0.25,0.018,4.41
2025-06-02 09:15:14,7.0,7.84,0.44,0.011,6.95
2025-06-02 09:15:21,6.62,7.27,0.3,0.062,14.13
2025-06-02 09:15:29,6.01,7.27,0.41,0.075,1.32
2025-06-02 09:15:45,6.9,6.88,0.12,0.039,12.0
2025-06-02 09:15:52,6.24,7.72,0.23,0.078,10.17
2025-06-02 09:15:59,8.62,6.86,0.5,0.051,4.54
2025-06-02 09:16:06,8.86,7.48,0.23,0.058,14.45
2025-06-02 09:16:13,6.13,6.98,0.47,0.047,4.32
2025-06-02 09:16:20,6.48,7.79,0.35,0.065,14.39
2025-06-02 09:16:27,8.13,7.44,0.36,0.073,8.92
2025-06-02 09:16:34,8.84,7.18,0.22,0.056,8.75
2025-06-02 09:16:41,6.99,7.55,0.41,0.038,14.41
2025-06-02 09:16:48,8.57,6.95,0.45,0.053,8.56
2025-06-02 09:16:55,6.83,7.67,0.17,0.087,4.01
2025-06-02 09:17:02,7.85,7.75,0.15,0.045,5.98
2025-06-02 09:17:09,7.57,6.93,0.34,0.043,6.29
2025-06-02 09:17:16,8.69,6.84,0.2,0.054,7.32
2025-06-02 09:17:24,7.84,6.96,0.4,0.054,5.06
2025-06-02 09:17:31,7.37,6.94,0.45,0.031,13.01
2025-06-02 09:17:38,6.73,7.7,0.17,0.091,2.56
2025-06-02 09:17:45,7.99,7.12,0.24,0.099,8.06
2025-06-02 09:17:52,8.19,7.11,0.11,0.086,11.46
2025-06-02 09:17:59,7.43,7.08,0.44,0.056,1.25
2025-06-02 09:18:06,7.35,6.85,0.25,0.031,10.6
2025-06-02 09:18:13,6.48,7.52,0.36,0.055,9.92
2025-06-02 09:18:20,7.59,7.44,0.35,0.028,13.4
2025-06-02 09:18:27,6.44,7.03,0.3,0.015,1.09
2025-06-02 09:18:34,8.24,6.71,0.3,0.019,12.63
2025-06-02 09:18:41,7.27,6.54,0.49,0.074,12.69
2025-06-02 09:18:48,6.16,7.04,0.22,0.034,1.26
2025-06-02 09:18:55,8.42,7.98,0.36,0.01,7.1
2025-06-02 09:19:02,8.48,7.32,0.39,0.071,2.22
2025-06-02 09:19:09,8.89,7.58,0.2,0.085,6.43
2025-06-02 09:19:17,7.79,6.68,0.32,0.066,11.45
2025-06-02 09:19:24,7.39,7.23,0.34,0.049,6.73
2025-06-02 09:19:31,7.87,7.35,0.39,0.043,14.97
2025-06-02 09:19:38,6.44,6.95,0.23,0.069,6.29
2025-06-02 09:19:45,7.4,7.78,0.35,0.016,10.97
2025-06-02 09:19:52,8.87,7.45,0.44,0.045,9.02
2025-06-02 09:19:59,8.5,7.89,0.47,0.047,10.94
2025-06-02 09:20:06,6.13,6.99,0.15,0.017,11.66
2025-06-02 09:20:13,7.86,7.57,0.23,0.057,14.86
2025-06-02 09:20:20,8.26,7.43,0.24,0.051,2.68
2025-06-02 09:20:27,8.3,7.37,0.23,0.097,7.18
2025-06-02 09:20:34,8.67,7.69,0.13,0.098,6.32
2025-06-02 09:20:41,6.08,7.23,0.36,0.078,2.91
2025-06-02 09:20:48,7.31,6.78,0.32,0.06,4.59
2025-06-02 09:20:55,8.54,7.0,0.32,0.079,2.78
2025-06-02 09:21:02,8.22,7.12,0.39,0.047,3.79
2025-06-02 09:21:09,6.41,7.01,0.49,0.052,11.33
2025-06-02 09:21:17,6.28,6.54,0.25,0.035,14.92
2025-06-02 09:21:24,8.14,6.73,0.29,0.021,5.16
2025-06-02 09:21:31,6.26,6.96,0.5,0.047,1.24
2025-06-02 09:21:38,7.27,6.89,0.35,0.025,7.82
2025-06-02 09:21:45,7.9,6.55,0.26,0.042,10.18
2025-06-02 09:21:52,7.07,7.06,0.18,0.04,11.14
2025-06-02 09:21:59,8.49,7.28,0.35,0.065,14.07
2025-06-02 09:22:06,6.5,7.06,0.12,0.035,2.89
2025-06-02 09:22:13,7.96,7.63,0.18,0.06,9.25
2025-06-02 09:22:20,6.34,7.19,0.18,0.066,8.63
2025-06-02 09:22:27,8.38,7.82,0.24,0.058,2.65
2025-06-02 09:22:34,8.27,7.06,0.24,0.09,7.0
2025-06-02 09:22:41,7.53,6.73,0.46,0.021,5.8
2025-06-02 09:22:48,7.31,7.7,0.34,0.038,1.24
2025-06-02 09:22:55,8.9,7.34,0.25,0.086,12.56
2025-06-02 09:23:02,7.78,7.69,0.41,0.04,6.12
2025-06-02 09:23:09,7.64,7.73,0.49,0.062,2.78
2025-06-02 09:23:16,6.82,7.9,0.28,0.056,14.58
2025-06-02 09:23:24,8.05,7.22,0.15,0.056,8.51
2025-06-02 09:23:31,8.45,7.47,0.23,0.082,14.98
2025-06-02 09:23:38,7.88,7.13,0.17,0.092,11.97
2025-06-02 09:23:45,7.09,7.19,0.37,0.096,2.2
2025-06-02 09:23:52,6.16,7.64,0.38,0.03,14.92
2025-06-02 09:23:59,6.63,6.68,0.34,0.081,13.37
2025-06-02 09:24:06,8.57,7.57,0.35,0.086,11.35
2025-06-02 09:24:13,7.88,7.29,0.41,0.094,4.88
2025-06-02 09:24:20,8.52,7.29,0.12,0.027,7.44
2025-06-02 09:24:27,6.32,6.83,0.15,0.049,2.71
2025-06-02 09:24:34,7.41,7.4,0.32,0.088,14.79
2025-06-02 09:24:41,6.02,6.74,0.31,0.069,1.17
2025-06-02 09:24:48,8.93,7.85,0.38,0.054,4.71
2025-06-02 09:24:55,6.24,7.4,0.47,0.029,1.45
2025-06-02 09:25:02,8.3,7.02,0.36,0.091,9.8
2025-06-02 09:25:10,6.01,7.91,0.33,0.073,10.28
2025-06-02 09:25:17,6.95,7.16,0.2,0.029,13.96
2025-06-02 09:25:24,7.65,7.96,0.37,0.014,11.19
2025-06-02 09:25:31,7.28,7.9,0.42,0.019,9.37
2025-06-02 09:25:38,6.88,7.22,0.17,0.064,10.97
2025-06-02 09:25:45,6.69,7.61,0.34,0.026,4.2
2025-06-02 09:25:52,6.13,7.94,0.13,0.042,3.52
2025-06-02 09:25:59,6.06,7.82,0.42,0.046,7.87
2025-06-02 09:26:06,8.73,7.16,0.37,0.016,5.9
2025-06-02 09:26:13,6.43,7.95,0.16,0.069,4.4
2025-06-02 09:26:20,7.5,7.17,0.5,0.07,4.08
2025-06-02 09:26:27,7.19,7.15,0.19,0.043,5.81
2025-06-02 09:26:34,6.92,7.99,0.18,0.094,1.83
2025-06-02 09:26:41,7.22,6.89,0.16,0.038,9.15
2025-06-02 09:26:49,8.25,7.12,0.16,0.024,7.14
2025-06-02 09:26:56,8.84,6.83,0.49,0.049,4.16
2025-06-02 09:27:03,6.89,7.87,0.19,0.059,8.26
2025-06-02 09:27:10,6.54,7.49,0.32,0.012,6.34
2025-06-02 09:27:17,6.22,6.77,0.13,0.098,10.38
2025-06-02 09:27:24,8.48,7.25,0.18,0.052,8.04
2025-06-02 09:27:31,7.3,7.18,0.26,0.091,13.38
2025-06-02 09:27:38,8.81,7.19,0.32,0.026,7.8
2025-06-02 09:27:45,7.35,7.3,0.47,0.049,13.43
2025-06-02 09:27:52,6.92,7.56,0.33,0.093,12.14
2025-06-02 09:27:59,6.56,7.64,0.42,0.028,1.91
2025-06-02 09:28:06,8.56,7.69,0.2,0.08,12.68
2025-06-02 09:28:13,6.67,7.15,0.17,0.032,10.09
2025-06-02 09:28:20,8.81,7.79,0.5,0.075,5.36
2025-06-02 09:28:27,8.37,6.79,0.36,0.064,11.05
2025-06-02 09:28:34,8.67,7.72,0.49,0.021,7.75
2025-06-02 09:28:41,8.73,6.58,0.46,0.02,2.11
2025-06-02 09:28:49,6.53,7.41,0.31,0.055,10.14
2025-06-02 09:28:56,7.35,7.89,0.45,0.038,1.76
2025-06-02 09:29:03,8.89,7.57,0.39,0.084,9.88
2025-06-02 09:29:10,7.75,6.94,0.19,0.055,2.54
2025-06-02 09:29:17,6.0,7.15,0.33,0.075,1.99
2025-06-02 09:29:24,6.24,6.88,0.49,0.065,5.1
2025-06-02 09:29:31,8.88,6.56,0.19,0.049,11.04
2025-06-02 09:29:38,6.94,7.52,0.32,0.05,4.28
2025-06-02 09:29:45,6.07,7.25,0.14,0.056,14.98
2025-06-02 09:29:52,8.9,7.39,0.47,0.086,9.64
2025-06-02 09:29:59,8.83,7.48,0.22,0.086,6.74
2025-06-02 09:30:06,8.73,7.46,0.46,0.012,5.19
2025-06-02 09:30:14,8.59,6.77,0.27,0.08,2.28
2025-06-02 09:30:21,8.34,7.25,0.45,0.053,13.4
2025-06-02 09:30:28,8.68,7.78,0.21,0.04,13.51
2025-06-02 09:30:35,7.99,6.62,0.46,0.049,11.66
2025-06-02 09:30:42,8.25,7.1,0.4,0.021,13.66
2025-06-02 09:30:49,8.32,6.52,0.15,0.064,7.48
2025-06-02 09:30:56,7.74,6.65,0.47,0.082,3.56
2025-06-02 09:31:03,7.72,6.99,0.21,0.027,1.99
2025-06-02 09:31:10,7.08,6.67,0.27,0.055,12.21
2025-06-02 09:31:17,7.28,7.78,0.18,0.084,7.96
2025-06-02 09:31:24,8.61,6.85,0.45,0.068,4.63
2025-06-02 09:31:31,6.68,6.87,0.21,0.07,4.1
2025-06-02 09:31:38,7.91,7.3,0.18,0.071,14.7
2025-06-02 09:31:45,7.71,7.05,0.39,0.092,9.78
2025-06-02 09:31:52,6.87,6.85,0.13,0.023,10.11
2025-06-02 09:31:59,6.77,6.78,0.14,0.052,14.39
2025-06-02 09:32:06,7.41,7.34,0.28,0.077,14.72
2025-06-02 09:32:13,7.59,6.76,0.2,0.087,10.58
2025-06-02 09:32:20,8.75,7.65,0.4,0.031,2.13
2025-06-02 09:32:27,7.27,7.38,0.2,0.056,12.36
2025-06-02 09:32:35,6.53,7.64,0.42,0.015,13.68
2025-06-02 09:32:42,8.86,7.8,0.11,0.071,8.0
2025-06-02 09:32:49,7.57,6.57,0.23,0.089,12.77
2025-06-02 09:32:56,7.1,7.48,0.46,0.096,14.87
2025-06-02 09:33:03,6.41,7.89,0.36,0.05,10.69
2025-06-02 09:33:10,6.6,7.32,0.47,0.016,13.2
2025-06-02 09:33:17,7.15,6.87,0.44,0.046,8.06
2025-06-02 09:33:24,7.74,6.88,0.12,0.028,9.61
2025-06-02 09:33:31,7.36,7.83,0.32,0.064,3.71
2025-06-02 09:33:38,7.41,7.65,0.16,0.084,11.61
2025-06-02 09:33:45,7.34,7.41,0.47,0.081,14.82
2025-06-02 09:33:52,7.76,7.2,0.47,0.019,2.22
2025-06-02 09:33:59,7.28,6.6,0.43,0.076,1.76
2025-06-02 09:34:06,7.77,7.78,0.35,0.085,6.78
2025-06-02 09:34:13,6.89,7.02,0.23,0.034,1.81
2025-06-02 09:34:20,6.88,7.67,0.25,0.092,2.39
2025-06-02 09:34:27,8.34,7.59,0.21,0.038,2.05
2025-06-02 09:34:35,6.58,7.64,0.33,0.018,3.75
2025-06-02 09:34:42,7.31,7.67,0.36,0.044,3.73
2025-06-02 09:34:49,7.03,7.42,0.46,0.013,13.83
2025-06-02 09:34:56,6.37,6.9,0.35,0.053,2.08
2025-06-02 09:35:03,7.72,7.0,0.41,0.046,1.15
2025-06-02 09:35:10,6.58,7.84,0.4,0.078,11.0
2025-06-02 09:35:17,8.13,6.95,0.19,0.039,2.78
2025-06-02 09:35:24,8.35,7.74,0.41,0.071,9.71
2025-06-02 09:35:31,6.54,7.04,0.16,0.075,7.54
2025-06-02 09:35:38,8.95,7.64,0.47,0.02,12.38
2025-06-02 09:35:45,6.82,6.78,0.23,0.075,1.64
2025-06-02 09:35:52,6.91,6.99,0.15,0.068,10.53
2025-06-02 09:35:59,6.44,7.3,0.45,0.025,8.86
2025-06-02 09:36:06,8.01,6.56,0.11,0.093,12.34
2025-06-02 09:36:14,6.49,6.62,0.43,0.022,7.38
2025-06-02 09:36:21,8.11,7.86,0.42,0.016,14.37
2025-06-02 09:36:28,6.75,7.49,0.41,0.098,6.47
2025-06-02 09:36:35,8.9,6.98,0.37,0.044,11.79
2025-06-02 09:36:42,8.36,6.51,0.26,0.044,4.88
2025-06-02 09:36:49,8.75,7.2,0.25,0.055,12.65
2025-06-02 09:36:56,8.24,6.56,0.12,0.07,3.05
2025-06-02 09:37:03,7.81,7.42,0.19,0.015,14.23
2025-06-02 09:37:10,8.97,7.21,0.36,0.084,9.45
2025-06-02 09:37:17,6.2,7.23,0.29,0.016,13.39
2025-06-02 09:37:24,8.83,6.77,0.23,0.03,9.07
2025-06-02 09:37:31,8.63,7.19,0.12,0.05,12.77
2025-06-02 09:37:38,8.03,7.72,0.44,0.085,4.5
2025-06-02 09:37:45,8.23,7.27,0.29,0.087,3.19
2025-06-02 09:37:53,6.88,7.74,0.49,0.036,1.01
2025-06-02 09:38:00,7.34,6.75,0.27,0.077,2.59
2025-06-02 09:38:07,7.75,7.53,0.46,0.078,1.05
2025-06-02 09:38:14,6.65,7.71,0.46,0.03,10.79
2025-06-02 09:38:21,7.1,7.47,0.46,0.046,2.05
2025-06-02 09:38:28,8.34,6.53,0.13,0.091,2.17
2025-06-02 09:38:35,6.55,7.41,0.39,0.032,3.52
2025-06-02 09:38:42,6.28,6.82,0.32,0.07,7.62
2025-06-02 09:38:49,6.61,7.92,0.44,0.026,4.82
2025-06-02 09:38:56,8.44,6.72,0.31,0.073,2.52
2025-06-02 09:39:03,6.43,6.54,0.17,0.025,9.97
2025-06-02 09:39:10,6.71,7.65,0.33,0.077,9.73
2025-06-02 09:39:17,7.21,7.03,0.17,0.073,13.68
2025-06-02 09:39:24,8.18,6.53,0.13,0.022,10.17
2025-06-02 09:39:31,8.02,6.94,0.42,0.015,6.67
2025-06-02 09:39:39,8.29,7.14,0.37,0.034,12.18
2025-06-02 09:39:46,6.42,6.6,0.2,0.012,4.01
2025-06-02 09:39:53,6.2,6.9,0.15,0.093,12.08
2025-06-02 09:40:00,8.4,7.27,0.32,0.063,7.72
2025-06-02 09:40:07,6.75,7.55,0.21,0.044,13.65
2025-06-02 09:40:14,8.1,7.29,0.25,0.011,9.86
2025-06-02 09:40:21,6.69,7.51,0.29,0.026,4.63
2025-06-02 09:40:28,6.44,7.32,0.11,0.086,9.7
2025-06-02 09:40:35,6.71,7.24,0.2,0.027,8.08
2025-06-02 09:40:42,7.63,6.81,0.27,0.087,13.7
2025-06-02 09:40:49,7.7,7.24,0.21,0.03,6.02
2025-06-02 09:40:56,7.45,7.41,0.33,0.03,1.26
2025-06-02 09:41:04,7.58,6.79,0.45,0.02,4.88
2025-06-02 09:41:11,6.92,7.47,0.27,0.079,11.19
2025-06-02 09:41:18,8.14,6.6,0.16,0.034,4.84
2025-06-02 09:41:25,7.46,7.79,0.47,0.022,7.53
2025-06-02 09:41:32,6.82,7.02,0.28,0.047,9.86
2025-06-02 09:41:39,7.1,7.55,0.24,0.039,10.08
2025-06-02 09:41:46,7.4,6.68,0.21,0.083,1.37
2025-06-02 09:41:53,7.98,7.57,0.4,0.043,4.79
2025-06-02 09:42:00,7.97,7.07,0.25,0.034,5.83
2025-06-02 09:42:07,6.48,6.86,0.32,0.06,4.21
2025-06-02 09:42:14,8.55,7.04,0.43,0.018,10.33
2025-06-02 09:42:21,7.72,7.57,0.45,0.095,3.8
2025-06-02 09:42:28,8.22,6.88,0.28,0.082,6.27
2025-06-02 09:42:35,7.38,6.89,0.21,0.039,8.21
2025-06-02 09:42:42,6.84,6.68,0.35,0.041,6.73
2025-06-02 09:42:49,8.73,6.79,0.4,0.037,12.65
2025-06-02 09:42:56,8.84,7.01,0.5,0.076,7.38
2025-06-02 09:43:04,6.64,6.69,0.22,0.012,14.56
2025-06-02 09:43:11,6.77,7.48,0.15,0.097,2.77
2025-06-02 09:43:18,6.38,7.4,0.13,0.061,8.78
2025-06-02 09:43:25,6.67,6.96,0.14,0.094,3.93
2025-06-02 09:43:32,8.86,7.59,0.18,0.084,6.51
2025-06-02 09:43:39,6.8,7.87,0.48,0.012,11.14
2025-06-02 09:43:46,7.67,6.76,0.33,0.03,5.5
2025-06-02 09:43:53,6.54,7.3,0.41,0.032,12.6
2025-06-02 09:44:00,6.79,6.73,0.16,0.099,12.16
2025-06-02 09:44:07,8.95,6.79,0.21,0.069,4.5
2025-06-02 09:44:14,7.77,7.06,0.27,0.01,1.13
2025-06-02 09:44:21,8.08,7.4,0.15,0.085,9.94
2025-06-02 09:44:28,7.7,7.73,0.19,0.026,4.56
2025-06-02 09:44:35,8.0,7.01,0.12,0.1,7.44
2025-06-02 09:44:42,7.59,7.7,0.3,0.063,8.25
2025-06-02 09:44:49,6.54,7.39,0.23,0.045,14.0
2025-06-02 09:44:56,7.41,7.06,0.14,0.046,5.78
2025-06-02 09:45:03,6.18,6.83,0.11,0.051,13.97
2025-06-02 09:45:10,8.11,7.18,0.47,0.085,2.84
2025-06-02 09:45:17,7.41,7.71,0.2,0.049,13.25
2025-06-02 09:45:25,8.7,7.95,0.2,0.051,9.55
2025-06-02 09:45:32,6.82,6.86,0.12,0.043,2.02
2025-06-02 09:45:39,6.4,7.68,0.34,0.052,12.62
2025-06-02 09:45:46,6.54,6.59,0.16,0.045,5.34
2025-06-02 09:45:53,8.29,7.02,0.36,0.085,8.67
2025-06-02 09:46:00,7.84,6.61,0.24,0.057,6.78
2025-06-02 09:46:07,7.28,7.23,0.33,0.038,4.48
2025-06-02 09:46:14,6.17,7.49,0.46,0.045,8.75
2025-06-02 09:46:21,7.49,7.96,0.38,0.063,13.93
2025-06-02 09:46:28,6.39,7.67,0.2,0.051,1.71
2025-06-02 09:46:35,7.57,7.55,0.3,0.078,13.08
2025-06-02 09:46:42,7.57,7.16,0.44,0.032,9.95
2025-06-02 09:46:49,7.71,6.91,0.4,0.06,5.99
2025-06-02 09:46:56,6.01,7.85,0.26,0.031,7.12
2025-06-02 09:47:03,8.16,6.68,0.5,0.047,2.58
2025-06-02 09:47:10,7.98,7.79,0.19,0.026,10.67
2025-06-02 09:47:18,6.62,7.29,0.44,0.085,11.85
2025-06-02 09:47:25,6.42,7.83,0.44,0.014,6.82
2025-06-02 09:47:32,8.49,7.64,0.4,0.07,11.14
2025-06-02 09:47:39,7.09,7.32,0.28,0.043,1.74
2025-06-02 09:47:46,7.23,6.97,0.14,0.082,2.69
2025-06-02 09:47:53,8.71,7.54,0.14,0.049,11.03
2025-06-02 09:48:00,8.77,6.56,0.14,0.033,13.1
2025-06-02 09:48:07,7.98,6.75,0.16,0.07,14.13
2025-06-02 09:48:14,6.87,7.31,0.2,0.021,8.12
2025-06-02 09:48:21,6.18,7.58,0.23,0.013,6.12
2025-06-02 09:48:28,6.66,7.99,0.2,0.089,7.7
2025-06-02 09:48:35,7.23,7.86,0.38,0.062,4.24
2025-06-02 09:48:42,8.73,6.51,0.39,0.031,1.49
2025-06-02 09:48:49,8.53,7.09,0.3,0.02,2.44
2025-06-02 09:48:56,8.31,7.04,0.34,0.073,2.8
2025-06-02 09:49:03,6.06,6.96,0.25,0.062,2.0
2025-06-02 09:49:10,6.64,7.5,0.5,0.063,10.67
2025-06-02 09:49:17,7.52,7.57,0.41,0.056,13.33
2025-06-02 09:49:24,6.0,7.71,0.46,0.025,3.64
2025-06-02 09:49:32,8.12,7.54,0.39,0.035,5.52
2025-06-02 09:49:39,6.26,7.8,0.35,0.037,15.0
2025-06-02 09:49:46,7.13,7.63,0.12,0.046,12.25
2025-06-02 09:49:53,6.1,7.43,0.3,0.013,9.99
2025-06-02 09:50:00,8.05,7.16,0.49,0.047,11.18
2025-06-02 09:50:07,6.59,7.9,0.25,0.063,10.12
2025-06-02 09:50:14,6.64,6.69,0.19,0.077,12.79
2025-06-02 09:50:21,7.78,6.68,0.18,0.017,7.23
2025-06-02 09:50:28,6.54,7.54,0.4,0.063,6.07
2025-06-02 09:50:35,6.91,7.44,0.43,0.048,9.12
2025-06-02 09:50:42,6.11,6.74,0.19,0.039,8.96
2025-06-02 09:50:49,8.31,7.24,0.48,0.023,9.1
2025-06-02 09:50:56,6.08,7.08,0.29,0.035,9.12
2025-06-02 09:51:03,6.24,7.96,0.28,0.045,3.23
2025-06-02 09:51:10,8.21,7.09,0.33,0.085,4.02
2025-06-02 09:51:17,6.42,7.06,0.42,0.073,7.41
2025-06-02 09:51:24,6.54,6.57,0.48,0.087,7.24
2025-06-02 09:51:31,6.98,7.71,0.29,0.064,12.77
2025-06-02 09:51:38,8.75,7.76,0.37,0.046,1.09
2025-06-02 09:51:45,8.81,6.79,0.19,0.093,9.4
2025-06-02 09:51:53,7.53,7.8,0.27,0.02,4.05
2025-06-02 09:52:00,7.74,6.53,0.29,0.07,3.31
2025-06-02 09:52:07,8.25,6.95,0.35,0.054,1.81
2025-06-02 09:52:14,7.94,7.68,0.12,0.025,10.5
2025-06-02 09:52:21,8.97,6.9,0.16,0.054,11.54
2025-06-02 09:52:28,6.84,7.2,0.19,0.048,9.12
2025-06-02 09:52:35,6.32,7.11,0.17,0.015,6.31
2025-06-02 09:52:42,7.58,7.25,0.43,0.058,7.86
2025-06-02 09:52:49,8.87,7.72,0.31,0.054,1.07
2025-06-02 09:52:56,6.45,6.6,0.39,0.011,4.09
2025-06-02 09:53:03,7.55,7.38,0.49,0.096,14.36
2025-06-02 09:53:10,7.12,7.02,0.32,0.023,5.82
2025-06-02 09:53:17,7.65,7.62,0.13,0.013,8.12
2025-06-02 09:53:24,7.0,7.64,0.38,0.06,12.43
2025-06-02 09:53:31,8.48,7.43,0.23,0.093,5.62
2025-06-02 09:53:38,6.32,6.99,0.41,0.076,1.66
2025-06-02 09:53:46,7.33,7.36,0.15,0.026,8.74
2025-06-02 09:53:53,8.06,6.99,0.22,0.095,3.51
2025-06-02 09:54:00,6.13,7.21,0.18,0.09,1.94
2025-06-02 09:54:07,8.21,6.91,0.18,0.043,10.68
2025-06-02 09:54:14,7.21,7.69,0.37,0.056,8.63
2025-06-02 09:54:21,7.65,7.84,0.19,0.037,5.51
2025-06-02 09:54:28,6.99,7.32,0.3,0.067,11.41
2025-06-02 09:54:35,8.01,7.48,0.41,0.016,3.52
2025-06-02 09:54:42,7.52,7.49,0.35,0.041,4.7
2025-06-02 09:54:49,8.13,6.94,0.11,0.046,9.49
2025-06-02 09:54:56,7.4,6.75,0.15,0.095,13.14
2025-06-02 09:55:03,8.87,7.31,0.17,0.018,2.02
2025-06-02 09:55:10,6.61,7.82,0.49,0.091,1.4
2025-06-02 09:55:17,7.64,7.07,0.48,0.06,5.38
2025-06-02 09:55:24,7.67,7.34,0.15,0.074,3.72
2025-06-02 09:55:31,6.17,7.05,0.42,0.018,3.85
2025-06-02 09:55:38,8.0,6.77,0.35,0.022,6.73
2025-06-02 09:55:45,8.58,6.84,0.27,0.096,10.15
2025-06-02 09:55:52,8.09,7.83,0.28,0.039,10.98
2025-06-02 09:55:59,6.65,6.8,0.2,0.04,3.66
2025-06-02 09:56:06,7.45,7.04,0.28,0.01,14.65
2025-06-02 09:56:14,7.56,7.37,0.45,0.024,4.42
2025-06-02 09:56:21,6.92,7.05,0.12,0.04,14.71
2025-06-02 09:56:28,6.23,6.87,0.44,0.045,5.31
2025-06-02 09:56:35,8.87,7.82,0.33,0.061,12.13
2025-06-02 09:56:42,7.91,6.55,0.12,0.095,1.33
2025-06-02 09:56:49,6.52,6.62,0.36,0.04,4.02
2025-06-02 09:56:56,7.51,7.11,0.44,0.049,4.99
